aligner,f1,sn,pr
HISAT2_Noref_Ill5_005_0,0.9892635261,0.9908767733,0.9876555235
HISAT2_Noref_Ill5_005_10,0.9726208947,0.9828848202,0.9625691191
HISAT2_Noref_Ill5_005_20,0.9389856356,0.9685730856,0.9111522466
HISAT2_Noref_Ill5_005_30,0.8994110642,0.953376584,0.8512276464
HISAT2_Noref_Ill5_005_40,0.8606665292,0.940164328,0.7935647973
HISAT2_Noref_Ill5_005_50,0.8255627305,0.929863366,0.7423005813
HISAT2_Noref_Ill5_005_60,0.7950223936,0.922549588,0.69847043
HISAT2_Noref_Ill5_005_70,0.769106974,0.9178376496,0.6618566487
HISAT2_Noref_Ill5_005_80,0.7475191992,0.9154468959,0.6316505254
HISAT2_Noref_Ill5_005_90,0.7296031748,0.9147644109,0.6067819404
HISAT2_Noref_Ill5_005_100,0.7149535667,0.9154912208,0.5864845689
HISAT_Ill5_005_0,0.9946642008,0.9952256128,0.9941034218
HISAT_Ill5_005_10,0.980155999,0.9881812196,0.9722600772
HISAT_Ill5_005_20,0.9480925666,0.9745142111,0.9230658233
HISAT_Ill5_005_30,0.9094681796,0.9596439084,0.8642786952
HISAT_Ill5_005_40,0.8712098491,0.9465343769,0.8069901508
HISAT_Ill5_005_50,0.8362405839,0.9361706334,0.7555866818
HISAT_Ill5_005_60,0.8055496628,0.9286351562,0.7112741746
HISAT_Ill5_005_70,0.7793354401,0.9236531073,0.6740218161
HISAT_Ill5_005_80,0.7574098103,0.9209470193,0.643194515
HISAT_Ill5_005_90,0.7390613915,0.9199660437,0.6176123925
HISAT_Ill5_005_100,0.7239638616,0.9203906788,0.5966324779
HISAT_Loose_Ill5_005_0,0.9948507326,0.9952451305,0.9944566473
HISAT_Loose_Ill5_005_10,0.9937852863,0.9940207875,0.9935498967
HISAT_Loose_Ill5_005_20,0.9922963103,0.992249611,0.9923430139
HISAT_Loose_Ill5_005_30,0.990164959,0.9896980624,0.9906322963
HISAT_Loose_Ill5_005_40,0.9873205977,0.986365025,0.9882780237
HISAT_Loose_Ill5_005_50,0.9838756747,0.982438541,0.9853170192
HISAT_Loose_Ill5_005_60,0.9798700862,0.9780670455,0.9816797869
HISAT_Loose_Ill5_005_70,0.9753116614,0.9732259946,0.9774062867
HISAT_Loose_Ill5_005_80,0.9703629362,0.9681842597,0.9725514401
HISAT_Loose_Ill5_005_90,0.9650272098,0.9629726776,0.9670905277
HISAT_Loose_Ill5_005_100,0.9594063672,0.9576736851,0.9611453304
HISAT_Loose_Noref_Ill5_005_0,0.991957732,0.9916029994,0.9923127186
HISAT_Loose_Noref_Ill5_005_10,0.9900920678,0.9893168347,0.9908685168
HISAT_Loose_Noref_Ill5_005_20,0.9867740647,0.9849889795,0.9885656318
HISAT_Loose_Noref_Ill5_005_30,0.9818820072,0.9785156837,0.9852715725
HISAT_Loose_Noref_Ill5_005_40,0.9756953255,0.9704034439,0.9810452398
HISAT_Loose_Noref_Ill5_005_50,0.9685835583,0.9612142641,0.9760667211
HISAT_Loose_Noref_Ill5_005_60,0.9607370983,0.9513417016,0.9703199228
HISAT_Loose_Noref_Ill5_005_70,0.9525371606,0.9412922646,0.9640539734
HISAT_Loose_Noref_Ill5_005_80,0.9440360761,0.9312280588,0.9572013272
HISAT_Loose_Noref_Ill5_005_90,0.9354157527,0.9213504324,0.9499171724
HISAT_Loose_Noref_Ill5_005_100,0.9268342618,0.9119198849,0.9422445969
STAR_Ill5_005_0,0.9953350908,0.9957239571,0.9949465281
STAR_Ill5_005_10,0.9942858858,0.994433712,0.9941381036
STAR_Ill5_005_20,0.9924787104,0.9923960708,0.9925613639
STAR_Ill5_005_30,0.9891408607,0.9895110081,0.9887709901
STAR_Ill5_005_40,0.9840033853,0.9859646313,0.9820499264
STAR_Ill5_005_50,0.977132104,0.9819535593,0.9723577647
STAR_Ill5_005_60,0.9685298567,0.9776102243,0.9596166196
STAR_Ill5_005_70,0.9584339799,0.9732260668,0.9440848117
STAR_Ill5_005_80,0.9471773111,0.9690227553,0.9262951098
STAR_Ill5_005_90,0.9349901041,0.9650491958,0.9067469936
STAR_Ill5_005_100,0.9222191383,0.9614978378,0.8860236771
STAR_Loose_Ill5_005_0,0.9953350665,0.9957239066,0.99494653
STAR_Loose_Ill5_005_10,0.9943144819,0.9944632184,0.9941657899
STAR_Loose_Ill5_005_20,0.992944278,0.9927204509,0.993168206
STAR_Loose_Ill5_005_30,0.9911195208,0.9903876943,0.9918524295
STAR_Loose_Ill5_005_40,0.9887799185,0.9874269,0.9901366501
STAR_Loose_Ill5_005_50,0.9859721835,0.9839396728,0.9880131086
STAR_Loose_Ill5_005_60,0.9826687725,0.9799477009,0.9854049975
STAR_Loose_Ill5_005_70,0.9789942852,0.975602119,0.9824101228
STAR_Loose_Ill5_005_80,0.974978168,0.9709789851,0.97901043
STAR_Loose_Ill5_005_90,0.9706842959,0.9661313391,0.9752803681
STAR_Loose_Ill5_005_100,0.9662303076,0.9612228271,0.9712902341
STAR_Loose_Noref_Ill5_005_0,0.9921218625,0.9914967708,0.9927477429
STAR_Loose_Noref_Ill5_005_10,0.9906174117,0.9895486209,0.9916885138
STAR_Loose_Noref_Ill5_005_20,0.9887826592,0.9871466972,0.9904240527
STAR_Loose_Noref_Ill5_005_30,0.9865180406,0.984191044,0.988856067
STAR_Loose_Noref_Ill5_005_40,0.9837572947,0.9806328488,0.9869017143
STAR_Loose_Noref_Ill5_005_50,0.9805539242,0.9765860071,0.9845542165
STAR_Loose_Noref_Ill5_005_60,0.9769076542,0.9720962606,0.9817669128
STAR_Loose_Noref_Ill5_005_70,0.9729009243,0.9672780835,0.978589519
STAR_Loose_Noref_Ill5_005_80,0.9685586645,0.9621741333,0.975028491
STAR_Loose_Noref_Ill5_005_90,0.9639738559,0.9569156932,0.9711369136
STAR_Loose_Noref_Ill5_005_100,0.9592494146,0.9515994032,0.9670234213
STAR_Noref_Ill5_005_0,0.9921206969,0.9914958963,0.9927462855
STAR_Noref_Ill5_005_10,0.9905788618,0.9895227511,0.9916372292
STAR_Noref_Ill5_005_20,0.9882897996,0.9868874988,0.9896960912
STAR_Noref_Ill5_005_30,0.9844896026,0.9835312026,0.9854498723
STAR_Noref_Ill5_005_40,0.9789208059,0.9796100033,0.9782325777
STAR_Noref_Ill5_005_50,0.9716437363,0.9753321816,0.9679830834
STAR_Noref_Ill5_005_60,0.9626823087,0.970843462,0.9546572209
STAR_Noref_Ill5_005_80,0.9406627796,0.9622020999,0.9200666792
STAR_Noref_Ill5_005_90,0.9282033275,0.9583174995,0.8999241097
STAR_Noref_Ill5_005_100,0.9151727093,0.9549134291,0.8786076156
Subread_Ill5_005_0,0.9947175971,0.9978668198,0.9915881894
Subread_Ill5_005_10,0.9858021979,0.991685853,0.9799879462
Subread_Ill5_005_20,0.9622700965,0.9784175873,0.9466469382
Subread_Ill5_005_30,0.9308030741,0.9621081893,0.901470975
Subread_Ill5_005_40,0.8973780273,0.9458278623,0.8536499849
Subread_Ill5_005_50,0.8652239967,0.9310858056,0.8080643058
Subread_Ill5_005_60,0.8359431667,0.9185479813,0.7669697487
Subread_Ill5_005_70,0.8100153301,0.9083437066,0.7308957303
Subread_Ill5_005_80,0.7877227165,0.9003685381,0.7001290198
Subread_Ill5_005_90,0.768506926,0.8942437225,0.6737702158
Subread_Ill5_005_100,0.752242709,0.8897721864,0.6515366065
Subread_Loose_Ill5_005_0,0.9949578279,0.9979613666,0.9919723143
Subread_Loose_Ill5_005_10,0.9922421665,0.9946663257,0.9898297946
Subread_Loose_Ill5_005_20,0.9862738076,0.9889319818,0.9836298851
Subread_Loose_Ill5_005_30,0.9765987806,0.9810561439,0.9721817375
Subread_Loose_Ill5_005_40,0.9638594261,0.9718033246,0.9560443477
Subread_Loose_Ill5_005_50,0.949082749,0.9618934156,0.9366088269
Subread_Loose_Ill5_005_60,0.9329813818,0.95177259,0.9149178115
Subread_Loose_Ill5_005_70,0.916400961,0.9419201326,0.8922280819
Subread_Loose_Ill5_005_80,0.899778871,0.9325232058,0.8692560788
Subread_Loose_Ill5_005_90,0.8835220047,0.9237898021,0.8466181049
Subread_Loose_Ill5_005_100,0.8677772161,0.9156506722,0.8246610208
Subread_Loose_Noref_Ill5_005_0,0.9930822037,0.9967176798,0.9894731516
Subread_Loose_Noref_Ill5_005_10,0.9903240679,0.9934120078,0.9872552657
Subread_Loose_Noref_Ill5_005_20,0.9842991578,0.9876753224,0.9809459959
Subread_Loose_Noref_Ill5_005_30,0.9745465452,0.9798135393,0.9693358739
Subread_Loose_Noref_Ill5_005_40,0.9617152244,0.9705897376,0.9530015276
Subread_Loose_Noref_Ill5_005_50,0.9468282266,0.9607676069,0.9332875432
Subread_Loose_Noref_Ill5_005_60,0.9306137776,0.9507393317,0.9113226094
Subread_Loose_Noref_Ill5_005_70,0.9138784368,0.9410036378,0.8882732329
Subread_Loose_Noref_Ill5_005_80,0.8970451806,0.9317042156,0.864872268
Subread_Loose_Noref_Ill5_005_90,0.8805002941,0.9230850247,0.8416714215
Subread_Loose_Noref_Ill5_005_100,0.8643444221,0.9150705893,0.8189467963
Subread_Noref_Ill5_005_0,0.9928610726,0.9966296473,0.989120891
Subread_Noref_Ill5_005_10,0.9838988853,0.990431567,0.9774518153
Subread_Noref_Ill5_005_20,0.9603181766,0.977146697,0.9440594875
Subread_Noref_Ill5_005_30,0.9288207488,0.9608358874,0.8988703089
Subread_Noref_Ill5_005_40,0.8953636808,0.9445421559,0.851052816
Subread_Noref_Ill5_005_50,0.8631809964,0.9298227596,0.8054529968
Subread_Noref_Ill5_005_60,0.833894475,0.9173346603,0.7643680378
Subread_Noref_Ill5_005_70,0.8079471551,0.907190549,0.7282763348
Subread_Noref_Ill5_005_80,0.7856327615,0.8992759023,0.6974897109
Subread_Noref_Ill5_005_90,0.7664249426,0.8932424246,0.671140263
Subread_Noref_Ill5_005_100,0.7501447528,0.8888896906,0.6488647996
Tophat2_Ill5_005_0,0.9928473629,0.9947167377,0.9909850012
Tophat2_Ill5_005_10,0.9557893803,0.9772962458,0.9352087139
Tophat2_Ill5_005_20,0.9000368219,0.9542167059,0.8516789723
Tophat2_Ill5_005_30,0.8472984726,0.9357694994,0.7741112047
Tophat2_Ill5_005_40,0.8032540515,0.9236181264,0.7106443013
Tophat2_Ill5_005_50,0.7680487648,0.9169198867,0.66076668
Tophat2_Ill5_005_60,0.7403792685,0.9143205966,0.6220414398
Tophat2_Ill5_005_70,0.7191480409,0.9147780551,0.5924496267
Tophat2_Ill5_005_80,0.7026583822,0.9169365919,0.5695586561
Tophat2_Ill5_005_90,0.6900392048,0.920389508,0.5519100304
Tophat2_Ill5_005_100,0.6803343237,0.9243792965,0.5382351086
Tophat2_Loose_Ill5_005_0,0.9955705397,0.9960215509,0.9951199367
Tophat2_Loose_Ill5_005_10,0.9950778936,0.9956202773,0.9945361005
Tophat2_Loose_Ill5_005_20,0.9933925719,0.9945759329,0.9922120234
Tophat2_Loose_Ill5_005_30,0.9897792709,0.9926150139,0.9869596842
Tophat2_Loose_Ill5_005_40,0.9840349185,0.9896725114,0.9784611901
Tophat2_Loose_Ill5_005_50,0.9766577087,0.9860998138,0.9673947087
Tophat2_Loose_Ill5_005_60,0.967610968,0.9818052189,0.9538212891
Tophat2_Loose_Ill5_005_70,0.9574891201,0.9771806589,0.9385755279
Tophat2_Loose_Ill5_005_80,0.9466237384,0.9723638767,0.9222112268
Tophat2_Loose_Ill5_005_90,0.9353842113,0.9675854958,0.9052572145
Tophat2_Loose_Ill5_005_100,0.9238351652,0.9627925093,0.8879078683
Tophat2_Loose_Noref_Ill5_005_0,0.9163833629,0.8991469041,0.934293576
Tophat2_Loose_Noref_Ill5_005_10,0.915505215,0.8984325602,0.933239292
Tophat2_Loose_Noref_Ill5_005_20,0.9133410519,0.8970063842,0.9302816694
Tophat2_Loose_Noref_Ill5_005_30,0.9090930596,0.8945133186,0.924155948
Tophat2_Loose_Noref_Ill5_005_40,0.9027752242,0.891059493,0.914803139
Tophat2_Loose_Noref_Ill5_005_50,0.89469508,0.8867900447,0.9027423172
Tophat2_Loose_Noref_Ill5_005_60,0.8850810846,0.8818992848,0.8882859266
Tophat2_Loose_Noref_Ill5_005_70,0.8744490593,0.8766652399,0.8722440554
Tophat2_Loose_Noref_Ill5_005_80,0.8631127866,0.8712284929,0.8551468844
Tophat2_Loose_Noref_Ill5_005_90,0.8515124678,0.865890635,0.837604002
Tophat2_Loose_Noref_Ill5_005_100,0.8396419846,0.8605260324,0.8197475861
Tophat2_Noref_Ill5_005_0,0.9880040141,0.9919782977,0.9840614488
Tophat2_Noref_Ill5_005_10,0.9488970975,0.9735356481,0.9254748841
Tophat2_Noref_Ill5_005_20,0.892029239,0.949984782,0.8407384655
Tophat2_Noref_Ill5_005_30,0.8388214436,0.931446412,0.762951918
Tophat2_Noref_Ill5_005_40,0.7947251432,0.9193924642,0.6998299505
Tophat2_Noref_Ill5_005_50,0.7597661017,0.9129712819,0.6505908322
Tophat2_Noref_Ill5_005_60,0.7323592341,0.9106052553,0.6124713097
Tophat2_Noref_Ill5_005_70,0.7114598635,0.9113259206,0.5834921671
Tophat2_Noref_Ill5_005_80,0.6952880745,0.9137134085,0.5611450368
Tophat2_Noref_Ill5_005_90,0.6829912354,0.9173733147,0.544002604
Tophat2_Noref_Ill5_005_100,0.6735947328,0.921532369,0.5307868924